iter	Passed	Remaining
0	2	1026
1	4	1036
2	6	1044
3	8	1008
4	9	975
5	12	1001
6	14	1037
7	16	1013
8	18	989
9	19	977
10	22	986
11	23	971
12	25	958
13	27	946
14	29	956
15	31	956
16	33	945
17	35	938
18	37	945
19	39	941
20	40	933
21	42	930
22	45	947
23	47	941
24	49	937
25	51	943
26	53	937
27	55	934
28	57	934
29	59	935
30	61	928
31	63	922
32	64	915
33	66	913
34	68	911
35	70	909
36	72	904
37	74	904
38	76	902
39	78	902
40	80	898
41	82	900
42	84	896
43	85	890
44	87	886
45	90	888
46	92	887
47	93	882
48	95	883
49	97	881
50	99	878
51	101	874
52	103	873
53	105	871
54	107	867
55	109	865
56	110	861
57	112	859
58	114	855
59	116	852
60	118	849
61	120	850
62	122	846
63	123	844
64	125	842
65	128	842
66	130	840
67	131	837
68	133	836
69	136	839
70	138	835
71	140	835
72	142	834
73	144	831
74	146	829
75	148	829
76	150	827
77	152	824
78	154	822
79	156	822
80	160	828
81	163	832
82	166	835
83	168	832
84	169	829
85	172	829
86	175	833
87	178	834
88	181	839
89	184	841
90	187	841
91	190	843
92	192	842
93	194	841
94	197	840
95	198	836
96	200	833
97	202	832
98	204	829
99	206	827
100	208	824
101	211	824
102	213	823
103	215	820
104	217	818
105	219	816
106	221	814
107	223	810
108	225	809
109	227	807
110	229	804
111	231	801
112	233	799
113	235	798
114	237	796
115	240	794
116	241	791
117	243	788
118	245	786
119	247	785
120	249	782
121	251	780
122	253	777
123	256	776
124	257	773
125	259	770
126	261	768
127	264	767
128	266	765
129	267	762
130	270	760
131	272	760
132	274	757
133	276	754
134	278	753
135	281	752
136	283	749
137	284	746
138	287	745
139	289	743
140	290	740
141	292	737
142	294	736
143	296	733
144	298	731
145	300	728
146	302	727
147	304	724
148	306	722
149	309	721
150	311	719
151	313	717
152	315	715
153	317	714
154	319	711
155	321	708
156	323	706
157	326	705
158	328	704
159	330	702
160	332	700
161	334	698
162	336	695
163	338	694
164	340	691
165	342	688
166	344	686
167	346	685
168	348	683
169	350	680
170	352	678
171	354	676
172	357	676
173	360	675
174	363	674
175	365	673
176	369	673
177	372	673
178	375	673
179	378	672
180	379	669
181	381	666
182	382	663
183	384	661
184	386	657
185	387	654
186	388	650
187	390	647
188	392	645
189	393	641
190	394	638
191	396	635
192	397	632
193	399	630
194	400	626
195	402	623
196	403	620
197	404	617
198	406	614
199	407	611
200	409	608
201	410	605
202	411	602
203	414	601
204	416	599
205	417	596
206	418	593
207	421	592
208	423	590
209	425	587
210	427	584
211	430	585
212	432	583
213	434	580
214	436	578
215	437	575
216	439	572
217	440	569
218	441	566
219	443	564
220	445	561
221	446	559
222	447	556
223	449	553
224	451	551
225	452	548
226	453	545
227	454	542
228	456	539
229	457	537
230	459	535
231	461	532
232	462	529
233	463	527
234	464	524
235	466	522
236	468	519
237	469	516
238	470	514
239	472	511
240	474	509
241	476	507
242	477	505
243	478	502
244	480	499
245	482	497
246	483	495
247	484	492
248	486	489
249	487	487
250	489	485
251	490	482
252	492	480
253	493	477
254	494	475
255	496	473
256	497	470
257	498	468
258	500	465
259	501	463
260	503	461
261	504	458
262	506	456
263	507	453
264	509	451
265	510	449
266	512	447
267	513	444
268	514	442
269	516	439
270	518	438
271	520	436
272	521	433
273	522	431
274	524	428
275	526	426
276	527	424
277	528	422
278	529	419
279	531	417
280	533	415
281	534	413
282	535	410
283	537	408
284	538	406
285	540	404
286	541	401
287	542	399
288	544	397
289	545	394
290	546	392
291	548	390
292	549	388
293	550	385
294	551	383
295	553	381
296	554	379
297	555	376
298	557	374
299	558	372
300	559	370
301	561	367
302	562	365
303	563	363
304	565	361
305	566	359
306	567	357
307	569	354
308	570	352
309	571	350
310	573	348
311	575	346
312	576	344
313	577	342
314	578	340
315	580	338
316	582	336
317	583	333
318	584	331
319	586	329
320	587	327
321	588	325
322	590	323
323	591	321
324	592	319
325	594	317
326	595	314
327	596	312
328	598	310
329	599	308
330	600	306
331	601	304
332	603	302
333	604	300
334	605	298
335	607	296
336	608	294
337	609	292
338	611	290
339	612	288
340	613	286
341	615	284
342	616	282
343	617	280
344	619	278
345	620	276
346	621	274
347	622	272
348	624	270
349	625	268
350	626	266
351	628	264
352	630	262
353	631	260
354	632	258
355	634	256
356	635	254
357	636	252
358	638	250
359	639	248
360	640	246
361	642	244
362	643	242
363	644	240
364	646	238
365	647	237
366	648	235
367	650	233
368	651	231
369	652	229
370	654	227
371	655	225
372	656	223
373	658	221
374	659	219
375	661	218
376	662	216
377	663	214
378	665	212
379	666	210
380	667	208
381	669	206
382	670	204
383	671	202
384	673	201
385	675	199
386	676	197
387	677	195
388	679	193
389	680	191
390	681	190
391	683	188
392	684	186
393	685	184
394	687	182
395	688	180
396	689	178
397	691	177
398	692	175
399	693	173
400	695	171
401	696	169
402	697	167
403	699	166
404	700	164
405	701	162
406	703	160
407	704	158
408	705	157
409	707	155
410	708	153
411	709	151
412	711	149
413	712	148
414	713	146
415	715	144
416	716	142
417	719	141
418	720	139
419	722	137
